class,precision,recall,f1-score,support
0,0.757803516841013,0.6858992257900749,0.7200607578745403,78790.0
1,0.4782172437698398,0.5894933321339421,0.5280567278734098,44467.0
2,0.2529313232830821,0.09491549099036178,0.1380326037275913,14318.0
3,0.15821775864817472,0.30670580964153277,0.20874960563676517,6472.0
