class,precision,recall,f1-score,support
0,0.705525238744884,0.7876380251300926,0.7443238380809595,78790.0
1,0.47800286841161704,0.5996131963028762,0.5319460931499197,44467.0
2,0.4597156398104265,0.00677468920240257,0.013352605134558469,14318.0
3,0.3958333333333333,0.0058714462299134735,0.011571254567600487,6472.0
